name,search_term,service,location,phone,email,website,latitude,longitude,rating
STTA,transportation,Transportation service,Antananarivo Madagascar,,,,,,
COTISSE TRANSPORT,transportation,Transportation service,IVM 12 TER AT Ambodivona Antananarivo 101 Madagascar,+261 32 11 027 10,,cotisse-transport.com,,,4.0
ATT (Agences des Transports Terrestres ),transportation,Department of Transportation,Route Moramanga 1947 Antananarivo 101 Madagascar,+261 20 26 213 44,,,,,
Auximad,transportation,Transportation service,Manakara Madagascar,,,,,,
Arrêt bus,transportation,Transportation service,Antananarivo Madagascar,,,,,,
COLIS EXPRESS ANKORONDRANO,transportation,Trucking company,Antananarivo Madagascar,+261 34 44 603 61,,,,,3.0
SEAL,transportation,Freight forwarding service,Toamasina Madagascar,,,,,,5.0
Western Taxi - Brousse Station,transportation,Transit station,Antananarivo Madagascar,,,,,,
Bolloré Transport & Logistics,transportation,Freight forwarding service,Ampasimazava Madagascar,,,,,,4.0
Northern Taxi - Brousse Station,transportation,Bus station,Antananarivo Madagascar,,,,,,3.7
Taxi- Brousse Station,transportation,Bus station,Ambositra Madagascar,,,,,,3.7
Arrêt Bus-CEG Antanimena,transportation,Bus stop,Rue Ampanjaka Toera Antananarivo Madagascar,,,,,,4.7
AUXIMAD,transportation,Freight forwarding service,Toamasina Madagascar,,,auximad.mg,,,5.0
terminus bac vers Ambila,transportation,Ferry terminal,ambila lemaitso Madagascar,,,,,,3.0
Riviere Imamba,transportation,River port,Unnamed Road Antananarivo Madagascar,,,,,,
Gare Routière Fisandratana Ambohimanambola,transportation,Bus company,ByPass Ambohimanambola Madagascar,,,,,,
GARAGE PROTO,transportation,Parking garage,Antananarivo Madagascar,,,,,,
CRO CORNMAD GLOBAL CARGO,transportation,Freight forwarding service,IB 731 Andoharanofotsy Antananarivo 102 Madagascar,+261 33 11 745 46,,business.site,,,
Air Austral,transportation,Aviation,2 Lalana Adrianary Ratianarivo Antananarivo Madagascar,+261 34 24 642 94,,air-austral.com,,,1.0
Taxi- Brousse Station,transportation,Transit station,Manakara Madagascar,,,,,,4.3
ITF Insolite Travel Fly,transportation,Airline,Antananarivo Madagascar,,,,,,
MAF Madagascar,transportation,Airline,Enceinte Avion Leger Antananarivo Madagascar,+261 20 24 524 57,,,,,4.7
Ravinala Airports,transportation,Airport,Ancienne Tour de Contrôle Aéroport Ivato Madagascar,+261 20 22 537 34,,ravinala-airports.aero,,,3.0
Ambatovy Airport,transportation,Airport,Madagascar,,,,,,
Tsaradia,transportation,Airline ticket agency,Terminal B Ivato Aéroport Antananarivo 101 Madagascar,+261 20 23 444 44,,tsaradia.com,,,5.0
FKPM Ankasina Maritiora,transportation,Church,Cité des 67Ha Centre 101 Madagascar,,,,,,4.3
Paositra Antanimena,transportation,Post office,Antananarivo Madagascar,+261 34 85 414 42,,,,,3.3
Weir Minerals,transportation,Engineering consultant,Immeuble Mining Business Center Rue Dr Raseta. Lot K7 105 Antananarivo Madagascar,+261 34 93 953 56,,global.weir,,,
Sumitomo corporation,transportation,Industrial design company,ivandry business center Antananarivo Madagascar,+261 20 22 494 05,,sumitomocorp.com,,,
BOA Mahazo,transportation,Bank,Antananarivo Madagascar,+261 20 22 315 38,,boa.mg,,,3.0
Batpro,construction,Road construction company,Antananarivo Madagascar,+261 20 22 224 69,,batpro-madagascar.com,,,3.7
Technibat Madagascar,construction,Road construction company,Lot FA IV 170 Andoharanofotsy Antananarivo 102 Madagascar,+261 32 07 223 76,,technibat-btp.mg,,,
entreprise RINA,construction,Construction company,44 Ambatondrazaka Madagascar,+261 34 40 736 45,,,,,
taovy construction btp,construction,Construction company,lot 03 266 d antananarivo avaradrano 103 Madagascar,+261 33 11 556 75,,,,,
SAMBA CONSTRUCTION,construction,Construction company,II V 127 Ampandrana Antananarivo 101 Madagascar,+261 34 38 872 79,,,,,
SARA & Cie,construction,Road construction company,Antananarivo Madagascar,+261 32 05 538 10,,,,,
ARTICOM,construction,Construction company,Antananarivo Madagascar,,,,,,
Entreprise Mandrindra et Co,construction,Construction company,101 Antananarivo 101 Madagascar,+261 34 03 909 80,,,,,
SIDEMA,construction,Metal construction company,Toamasina Madagascar,,,,,,
SODIAT,construction,Road construction company,Borosy Amborompotsy Talatamaty RN 4 Antananarivo 105 Madagascar,,,sodiatgroupe.com,,,
DJISTERA Construction,construction,Corporate office,Lalana Ralambo Emile Antananarivo Madagascar,+261 32 07 994 23,,,,,
Jose & Nadiane,construction,Home builder,Ranomafana Madagascar,+261 34 81 260 25,,,,,
Depaneur Moto Sc,construction,Garage builder,Dorodosy Antananarivo sud Madagascar,,,,,,
Vision Madagascar (ViMa),construction,Property management company,Explorer Business Park Antananarivo Madagascar,+261 20 22 338 31,,visionmadagascar.com,,,3.0
IMMEUBLE TSARAVINTANA,construction,Civil engineering company,Toamasina Madagascar,,,,,,
Artchic Madagascar,construction,Building firm,VR 57 Ter Mahazoarivo 101 Rue Razeroma Antananarivo Madagascar,+261 32 05 117 92,,,,,
MAD'STEEL,construction,Building materials store,LOT IVR 100 Antanimena Antananarivo 101 Madagascar,+261 34 11 623 11,,madalinks.net,,,
UBP Ambohimalaza,construction,Building materials supplier,Lot IQ UBP Ambohimalaza Miray BP 7143 103 Ambatofotsy Madagascar,+261 33 07 216 16,,ubpgroup.com,,,
Eam Consulting,construction,Civil engineering company,Lot III X 152 K Bis B Anosibe Antananarivo 101 Madagascar,+261 33 02 236 87,,eam-consulting.com,,,
Henri Fraise Fils & Cie,construction,Construction equipment supplier,Rue Ravoninahitriniarivo Antananarivo 45221 Madagascar,+261 20 22 227 21,,henrifraise.com,,,4.5
Dream'in,construction,Roofing contractor,Rue Massignon Antananarivo Madagascar,+261 20 22 265 71,,dreamin.tv,,,2.6
SECREN,construction,Corporate office,Lalana Kaleba Razafimino Antananarivo Madagascar,+261 20 22 270 77,,secren.mg,,,5.0
TAMA-ELEC Tamatave,construction,Electrical supply store,Toamasina Madagascar,+261 34 02 335 06,,bit.ly,,,
nyetodago,construction,Corporate office,Lot III i139 E Soanierana Rue Mahatanty Madagascar,+261 33 40 120 03,,nyetodago.com,,,4.5
"Groupe EDL, Everyday Life",construction,Corporate campus,Rue Dokotera Joseph Raseta Tananarive Madagascar Antananarivo 101 Madagascar,+261 20 23 209 47,,edl.mg,,,3.0
Habitat Madagascar,furniture,Furniture store,Enceinte Batistock Rue Dokotera Joseph Raseta Antananarivo 101 Madagascar,+261 20 23 301 91,,habitat.fr,,,4.3
Meubles Gautier Madagascar,furniture,Furniture store,Route des Hydrocarbures Enceinte Madecasse Antananarivo Madagascar,+261 32 05 018 72,,gautier.fr,,,5.0
Arts Malagasy,furniture,Furniture store,Ambatondrazaka Madagascar,+261 34 91 669 24,,,,,
ÉBÈNE Fabricant sur mesure,furniture,Furniture store,Rue Ravoninahitriniarivo MADAGASCAR Antananarivo 101 Madagascar,+261 34 02 110 90,,ebenesurmesure.com,,,5.0
Géant du Meuble,furniture,Furniture store,Pont bailey Antananarivo Madagascar,+261 20 22 571 73,,,,,3.7
Univers Meubles,furniture,Furniture store,Lot IVL 19 Anosivavaka 101 Madagascar,+261 34 60 077 04,,,,,
immeuble HAINGO,furniture,Furniture store,Antananarivo Madagascar,+261 34 91 389 82,,,,,
UNIPRI Menuiserie,furniture,Furniture store,RN 7 Antananarivo Madagascar,,,,,,
F. Bonnet & Ses Fils,furniture,Furniture store,42 Arabe Andrinampoinimerina Antananarivo 101 Madagascar,+261 20 22 203 26,,bonnet-fils.com,,,4.7
Hôtel Plus,furniture,Furniture accessories,Immeuble Trade Tower Ivandry Antananarivo 101 Madagascar,+261 34 44 673 17,,business.site,,,
HOPPI DESIGN,furniture,Cabinet store,B 09 VICTORIA PLAZA ANTANIMENA Antananarivo 101 Madagascar,+261 20 22 550 95,,,,,
F. Bonnet & Ses Fils,furniture,Hardware store,Rue Ravoninahitriniarivo Antananarivo Madagascar,+261 20 22 203 26,,bonnet-fils.com,,,4.0
Bonmarche.mg,furniture,E-commerce service,Lot IVD 48 Behoririka Immeuble Hôtel Cristal Room 202 Antananarivo 101 Madagascar,+261 34 49 777 00,,bonmarche.mg,,,4.6
TRUST GROUP,furniture,Kitchen supply store,IBM 57 ISORAKA ANTANANARIVO 101 Madagascar,+261 34 46 272 33,,,,,
Qubeta Siege,furniture,Computer wholesaler,Lot IVX Ankazomanga Atsimo Andraharo en face Seige Star Antananarivo 101 Madagascar,+261 34 02 115 00,,,,,
aluminium treasure,furniture,Home goods store,Antananarivo Madagascar,+261 33 80 777 86,,,,,
SODIM,furniture,Office supply store,Antananarivo Madagascar,+261 20 23 301 63,,sodim.mg,,,4.1
Marco shop,furniture,Store,Antananarivo Madagascar,+261 34 52 455 55,,m.facebook.com,,,1.0
Shoprite Ampefiloha,furniture,Discount supermarket,Lalana Amiclar Cabral Joseph Antananarivo Madagascar,+261 20 22 288 56,,shoprite.co.za,,,3.8
Novashop.mg,furniture,Supermarket,Lot 143 bis Ambohijanahary Antehiroka Antananarivo 105 Madagascar,+261 33 83 222 58,,novashop.mg,,,
SERVICE PHOTOCOPIE S4F,office,Office furniture store,Antananarivo Madagascar,,,,,,
SODIM,office,Office supply store,Antananarivo Madagascar,+261 20 23 301 63,,sodim.mg,,,4.1
RedZone Ambanidia (Showroom Mobilier Bureau Sur Mesure),office,Office furniture store,Antananarivo Madagascar,,,,,,
Paper Store,office,Office supply store,Centre Commercial Akoor Digue 1er étage Andohatapenaka Antananarivo 101 Madagascar,+261 34 11 464 01,,paperstore.mg,,,4.5
Shop RMB,office,Office supply store,Antananarivo Madagascar,,,,,,
Orange Smart,office,Post office,Smart Tanjombato Antananarivo Madagascar,+261 32 07 806 04,,,,,
Office Malgache des Hydrocarbures,office,Government office,Ambondrona Madagascar,,,,,,
China Visa application Center,office,Corporate office,Batiment -BGolden bussiness center Antananarivo Madagascar,+261 34 83 233 32,,visaforchina.org,,,4.7
La Poste,office,Post office,RN25 Ifanadiana Madagascar,,,,,,
UPS Madagascar - Antananarivo,office,Post office,Bulding B09/10 - Zone Filatex Ankadimbahoaka Antananarivo Renivohitra BP 1555 Madagascar,+261 20 22 269 03,,ups.com,,,
Canada visa Application Center,office,Visa and passport office,Antananarivo Madagascar,+261 34 83 233 32,,vfsglobal.ca,,,
Paositra Malagasy,office,Post office,Toamasina Madagascar,,,paositramalagasy.mg,,,4.5
Sagemcom Office Mada,office,Corporate office,7 Antananarivo Madagascar,,,,,,
Fokontany Andranomanalina Centre,office,City government office,Antananarivo Madagascar,,,,,,5.0
Office des Mines Ntionales et des Industries Stratégiques,office,Corporate office,21 Lalana Razanakombana Antananarivo 101 Madagascar,,,,,,
OMNIS Ambohijatovo,office,Corporate office,21 Lalana Razanakombana Antananarivo 101 Madagascar,+261 20 22 242 83,,omnis.mg,,,
OPHAM,office,Corporate office,Lalana Général Andrimahazo Antananarivo Madagascar,+261 20 22 206 73,,opham.com,,,
Mining Business Center,office,Corporate office,Antananarivo Madagascar,,,bcmm.mg,,,4.5
District Avaradrano Atsimo,office,District office,By-Pass Antananarivo Madagascar,,,,,,
Résidence Présidentielle,office,State government office,Toamasina Madagascar,,,,,,5.0
Promodim Madagascar,office,Corporate office,Tour Zital Zone Zital Ankorondrano Zone Zital Ankorondrano Antananarivo 101 Madagascar,+261 20 22 353 72,,imperialbrandsplc.com,,,5.0
Jehovah's Witnesses - Watchtower Branch Office,office,Jehovah's Witness Kingdom Hall,Antananarivo Madagascar,,,jw.org,,,5.0
SOFTWELL,office,Corporate office,Antananarivo Madagascar,+261 20 22 409 32,,softwell.mg,,,5.0
"Bureau ONUSIDA Inter Pays Madagascar, Comores, Maurice, Seychelles",office,Corporate office,Zone Galaxy Andraharo Antananarivo 101 Madagascar,+261 20 23 300 92,,unaids.org,,,4.0
Office Régional du Tourisme de Tamatave,office,Tourist information center,Rue Lieutnant Noel Ambodimanga Toamasina Madagascar,+261 20 53 302 05,,tamatave-501.com,,,
La Case Verte,office,Home goods store,Lalana Samuel Stefani Antananarivo Madagascar,+261 20 22 382 02,,lacaseverte.com,,,4.4
Blanche Birger,office,Computer repair service,Toamasina Madagascar,,,,,,
Opham,office,Pharmaceutical products wholesaler,RN4 Antananarivo Madagascar,+261 20 22 206 73,,opham.com,,,5.0
Anjomakely,office,City courthouse,Unnamed Road Madagascar,,,,,,
Travaux d’impression,office,Digital printing service,Ambohitrimanjaka Madagascar,,,,,,
Ethiopian Airlines,office,Tour agency,Antananarivo Madagascar,+261 34 07 637 96,,ethiopianairlines.com,,,3.3
IFFCO Madagascer,office,Business center,Immeuble Assist 2è Etage Lot nº2-2 Ivandry Antanaravio 101 Madagascar,+261 33 28 306 24,,iffco.com,,,
ITA 13 Ambaniala,office,Computer repair service,4 Antananarivo Madagascar,,,,,,
Service de la médecine preventive et de la promotion de la santé,office,Public health department,Andrainjato Madagascar,,,,,,
Vivo Energy Madagascar,office,Gas company,Batiment B4 Golden Business Center Antananarivo Madagascar,+261 20 22 227 28,,vivoenergy.com,,,1.0
CNAPS Anosizato,office,Social security financial department,RN1 Antananarivo Madagascar,,,cnaps.mg,,,
SGS Madagascar Sarl,office,Business to business service,Immeuble Ariane Enceinte Galaxy Andraharo Antananarivo 101 Madagascar,+261 20 23 564 10,,sgs.com,,,5.0
SGS Madagascar Sarl,office,Business to business service,Boulevard Joffre Toamasina Madagascar,+261 20 53 010 13,,sgs.com,,,
Miro K.E,office,Company registry,Antananarivo Madagascar,+261 32 07 174 74,,miroke.com,,,
Commune Rurale Ambodirano,office,Municipal Department Housing and Urban Development,Ambodirano Amparafaravola Ambodirano 312 Madagascar,+261 34 61 229 35,,,,,
njk multiservises,school supplies,School supply store,IIIK1C Andavamamba Anjezika II TANA 101 ANTANANARIVO 101 Madagascar,+261 33 14 253 04,,,,,
SODIM,school supplies,Office supply store,Antananarivo Madagascar,+261 20 23 301 63,,sodim.mg,,,4.1
Paper Store,school supplies,Office supply store,Centre Commercial Akoor Digue 1er étage Andohatapenaka Antananarivo 101 Madagascar,+261 34 11 464 01,,paperstore.mg,,,4.5
Univers CNL Madagascar,school supplies,Office supply store,LOT ANJANAHARY IIA 92 DA Antananarivo Madagascar,+261 34 87 584 31,,business.site,,,
Shoprite Tana Downtown,school supplies,Supermarket,28 Rue Andrianampoinimerina Antananarivo Madagascar,+261 20 22 360 89,,shoprite.co.za,,,3.9
"Leader Price, Tanjombato",school supplies,Supermarket,Antananarivo Renivohitra Madagascar,,,,,,3.5
Tsara Bika,school supplies,Department store,3 Antananarivo Madagascar,+261 33 01 004 98,,tsarabika.com,,,5.0
Tsenantsika,school supplies,Supermarket,Gara Ihazolava Ambatolampy Madagascar,,,,,,
Shoprite Anlakely,school supplies,Supermarket,Arabe Andrinampoinimerina Antananarivo Madagascar,,,,,,
Leader Price Ankorondrano,school supplies,Supermarket,Antananarivo 101 Madagascar,+261 34 47 177 33,,leaderprice.mg,,,3.7
Vision Valley School Tana,school supplies,School,Talatamaty Madagascar,+261 33 14 441 27,,visionvalleyschool.com,,,4.0
British School of Madagascar - Primary School,school supplies,Elementary school,Lotissement Bonnet N69 Rue Annabelle Antananarivo 101 Madagascar,+261 34 43 211 17,,britishschool.mg,,,4.9
Vatel Antananarivo - International Hospitality School,school supplies,Hospitality and tourism school,Villa anjarasoa 101 Rue Tsimanindry Antananarivo Madagascar,+261 34 67 014 27,,vatel.mg,,,5.0
American School of Antananarivo,school supplies,International school,Park Antananarivo Madagascar,+261 20 22 420 39,,asamadagascar.org,,,5.0
Computek Technology,school supplies,Computer store,Rue Amiral Billard Toamasina Madagascar,+261 34 74 839 85,,computek.mg,,,5.0
Weir Minerals,school supplies,Engineering consultant,Immeuble Mining Business Center Rue Dr Raseta. Lot K7 105 Antananarivo Madagascar,+261 34 93 953 56,,global.weir,,,
ERICSSON Madagascar,school supplies,Software company,Lot 01D68 Madagascar,,,ericsson.com,,,
Kentia-Formation,school supplies,Adult education school,Immeuble Jacaranda Lalana Ranavalona III Antananarivo Madagascar,+261 34 11 357 34,,kentia-formation.com,,,
IFRC Office/Bureau FICR,school supplies,District office,Antananarivo Madagascar,,,ifrc.org,,,
World Food Programme (PAM),school supplies,Corporate office,Unnamed Road Madagascar,,,wfp.org,,,
ABC - Tamatave,material,Construction material wholesaler,Boulevard Augagneur Tamatave Tamatave 501 Madagascar,+261 20 53 311 28,,abc.mg,,,5.0
Manorina,material,Building materials store,Antananarivo Madagascar,+261 20 24 264 23,,,,,
Quincaillerie Ny Antsika,material,Building materials store,Antananarivo Madagascar,+261 20 22 258 85,,,,,
MAD'STEEL,material,Building materials store,LOT IVR 100 Antanimena Antananarivo 101 Madagascar,+261 34 11 623 11,,madalinks.net,,,
CG BAT Redland,material,Building materials store,Module 19 - ZI Forello Antananarivo Madagascar,+261 20 22 466 92,,tuiles-redland.com,,,
COMPAGNIE MADECASSE - Agence Tamatave,material,Building materials store,Boulevard Marechal Foch Toamasina Madagascar,+261 32 11 043 47,,madecassemada.com,,,4.8
GASY AVENIR SARLU,material,Building materials store,Antananarivo Madagascar,+261 32 03 473 02,,,,,
Métaplasco,material,Building materials supplier,Antananarivo Madagascar,+261 32 43 213 78,,metaplasco.com,,,
Etablissement La Joie,material,Hardware store,Antananarivo Madagascar,,,,,,
Quincaillerie Nonisoa,material,Hardware store,Mananjary Madagascar,+261 34 18 999 53,,,,,
Quincaillerie ISANJATO,material,Hardware store,QVY 55 ter Ambatomirahavavy Madagascar,+261 34 17 817 51,,,,,
Quincaillerie MANANTSOA,material,Hardware store,501 Toamasina 501 Madagascar,+261 32 11 112 12,,,,,
Annexe Soa Vy,material,Tile store,Rue Du Marechal De Lattre De Tassigny Toamasina Madagascar,,,,,,
Quincaillerie MAHERY,material,Hardware store,11/47 tamatave 501 Madagascar,,,,,,
Quincaillerie Fihavana,material,Hardware store,Antananarivo Madagascar,+261 32 50 845 66,,tolotra-malagasy.com,,,5.0
QUINCAILLERIE TSIMISARAKA,material,Hardware store,MANGARIVOTRA Tomasina 501 Madagascar,+261 34 55 011 80,,,,,
BRICODIS TSARALALANA,material,Hardware store,Antananarivo Madagascar,+261 34 23 123 04,,bricodis.mg,,,3.0
Aurlac magasin d'usine,material,Paint store,Ambohibao Ambohimaro 101 Antananarivo Madagascar,+261 32 11 243 36,,aurlac.com,,,4.0
Aurlac usine,material,Paint store,Antananarivo Madagascar,+261 32 05 043 36,,aurlac.com,,,
Connect it Tamatave,material,Hardware store,Boulevard de la fidelité Toamasina bazary kely 501 Madagascar,+261 34 09 249 63,,,,,
Sté TSARAHAZO SARL,material,Hardware store,21 Rue de Commerce Toamasina AMPASIMAZAVA TOAMASINA 501 Madagascar,+261 34 05 329 81,,business.site,,,
Caro Confort,material,Tile store,88E Ankadifotsy Befelatana Antananarivo 101 Madagascar,+261 34 43 302 22,,,,,5.0
F. Bonnet & Ses Fils,material,Hardware store,Rue Ravoninahitriniarivo Antananarivo Madagascar,+261 20 22 203 26,,bonnet-fils.com,,,4.0
Sankoo Madagascar,material,Paint store,Enceinte Le Grillon Lot II L 111 ED Madagascar,,,,,,
ETS SARIAKA,material,Hardware store,Lot A 180 camps des mariées Moramanga 514 Madagascar,+261 20 56 825 06,,,,,4.7
AQUAMAD,material,Industrial equipment supplier,101 Route du Papa Anosivavaka Antananarivo 688 Madagascar,+261 20 22 533 54,,aquamad.business.site,,,4.5
Batpro,material,Road construction company,Antananarivo Madagascar,+261 20 22 224 69,,batpro-madagascar.com,,,3.7
Compagnie Madecasse,material,Industrial equipment supplier,Rue Ravoninahitriniarivo Antananarivo 101 Madagascar,+261 20 22 224 08,,madecassemada.com,,,3.8
Hazovato S.A,material,Furniture maker,Antananarivo Madagascar,+261 20 22 462 75,,hazovato.com,,,3.6
J.R. Metaux MG Sarlu,material,Stainless steel plant,Antananarivo-Atsimondrano Antanimenakely 101 Madagascar,+261 33 11 914 37,,jrmetaux.com,,,5.0
Agence BNI Madagascar,material,Bank,Zone Galilée Tanjombato Antananarivo Madagascar,+261 20 22 479 02,,bni.mg,,,1.0
Agence BNI Madagascar,material,Bank,Lot II BIS Mahalavolona Andoharanofotsy Andoharanofotsy Antananarivo Madagascar,+261 20 22 460 35,,bni.mg,,,4.0
Agence BNI Madagascar,material,Bank,Rue du Commerce Ambositra Madagascar,+261 20 47 711 29,,bni.mg,,,
Eglise Néo Apostolique,material,Church,Toamasina Madagascar,,,,,,1.0
Beton Fanilo Bypass,concrete,Concrete product supplier,ByPass Antananarivo Madagascar,+261 33 32 371 56,,facebook.com,,,
Beton Prefa,concrete,Concrete product supplier,Antananarivo Madagascar,+261 33 50 071 52,,facebook.com,,,
BGM - Béton Et Granulats De Madagascar,concrete,Concrete product supplier,Talatamaty Madagascar,+261 32 03 323 23,,betongranulats-mada.com,,,5.0
ivato carriere,concrete,Concrete metal framework supplier,Antananarivo Madagascar,,,,,,
Quincaillerie MOMO,concrete,Hardware store,Toamasina Madagascar,+261 34 05 178 28,,,,,5.0
SGS Madagascar Sarl,concrete,Business to business service,Immeuble Ariane Enceinte Galaxy Andraharo Antananarivo 101 Madagascar,+261 20 23 564 10,,sgs.com,,,5.0
Garage ppride,truck,Truck repair shop,Toamasina Madagascar,+261 32 05 829 25,,,,,
Madagascar Poids Lourds (MPL),truck,Truck accessories store,Toamasina Madagascar,+261 34 11 429 10,,,,,
RDV44,truck,Truck stop,Mahitsy(poste restante Ambohidratrimo 105 Madagascar,,,,,,
Fiadanamanga Iavoloha,truck,Truck stop,7 Antananarivo Madagascar,,,,,,
Planete Poids Lourds Analamahitsy,truck,Truck parts supplier,Antananarivo Madagascar,+261 34 13 287 57,,,,,5.0
Toyota Rasseta,truck,Car dealer,Behoririka Antananarivo 101 Madagascar,+261 20 22 257 70,,toyotamadagascar.com,,,3.7
Madagascar Automobile Andraharo,truck,Nissan dealer,Rue du Docteur Raseta Andraharo B. P. 350 Antananarivo 101 Madagascar,+261 20 23 254 54,,madauto.com,,,3.7
Delta parts,truck,Auto parts store,andraharo Antananarivo Madagascar,+261 34 07 600 67,,,,,
CT Motors,truck,Car dealer,Rue Docteur Joseph Raseta Antananarivo Madagascar,+261 20 23 320 52,,ctmotors.mg,,,4.4
TOYOTA RASETA,truck,RV dealer,Lalana Jean Ralaimongo Road Antananarivo Madagascar,+261 33 11 433 55,,toyotamadagascar.com,,,4.5
Batimax,truck,Building materials store,Rue Docteur Joseph Raseta Antananarivo Madagascar,+261 20 23 317 86,,batimax-mada.com,,,3.9
Sanifer,truck,Home improvement store,Rte du Pape Antananarivo Madagascar,+261 20 22 530 81,,sanifer.mg,,,4.1
Shoprite Hotel,truck,Supermarket,Antananarivo Madagascar,+261 32 07 982 82,,shoprite.co.za,,,4.1
Shoprite Ampasanimalo,truck,Variety store,Arabe Jeneraly Charles de Gaulle Antananarivo Madagascar,+261 20 22 326 43,,shoprite.co.za,,,3.7
MOBIVET,truck,Veterinary pharmacy,F III G 33 Ambohimahitsy Antananarivo 101 Madagascar,+261 34 78 110 92,,mobivet.business.site,,,4.0
Expo Freight (EFL),freight,Freight forwarding service,Lot B3 – Tana water front Lot B3 1 erétage Ambodivona Antananarivo 101 103 Madagascar,+261 20 22 368 97,,efl.global,,,3.0
Expeditors,freight,Freight forwarding service,1st Floor â€“ Immeuble ALLAIN SARL 15 Bis Rue Patrice Lumumba Tsaralalana Antananarivo MG 101 Madagascar,+261 20 22 681 29,,expeditors.com,,,
Bolloré Transport & Logistics,freight,Freight forwarding service,Ampasimazava Madagascar,,,,,,4.0
CMA CGM INLAND SERVICE,freight,Freight forwarding service,Betainomby Airport Toamasina Madagascar,,,,,,
SEAL,freight,Freight forwarding service,Toamasina Madagascar,,,,,,5.0
Gara,train,Train station,44 Andreba Madagascar,,,,,,4.0
Train (Railway) Station,train,Train station,Toamasina Madagascar,,,,,,3.7
Gare Soarano,train,Train station,Gare Soarano Analakely Antananarivo Madagascar,,,,,,3.8
Madiorano Trainstation,train,Train ticket counter,Madagascar,,,,,,5.0
Antananarivo,train,Train station,Antananarivo Madagascar,,,,,,3.7
Anjeva,train,Train station,Madagascar,,,,,,4.6
Andranokoditra,train,Train station,Madagascar,,,,,,4.4
Manakara,train,Train station,12 Manakara Madagascar,,,,,,4.2
Madarail S.A.,train,Railroad company,1 Avenue de L'Independance Antananarivo 101 Madagascar,+261 20 22 345 99,,madarail.mg,,,4.0
Andasibe station,train,Rest stop,Moramanga Madagascar,,,madarail.mg,,,3.7
Château d'eau d'Ankadifotsy,utility,Water utility company,Rue Docteur Rajaonah Antananarivo Madagascar,,,,,,2.0
Sisaony,utility,Water utility company,Unnamed Road Antananarivo Madagascar,,,,,,
INERGY Solutions,utility,Electric utility company,Antananarivo Madagascar,+261 34 22 447 27,,,,,5.0
JIRAMA,utility,Water utility company,Vs 4 Lot 76 Lalana Printsey Kamamy Antananarivo Madagascar,+261 20 22 294 15,,jirama.mg,,,
JIRAMA,utility,Water utility company,19rue RAINITOVO Antananarivo 101 Madagascar,+261 34 83 702 25,,jirama.mg,,,
