name,search_term,service,location,phone,email,website,latitude,longitude,rating
Entreprise Citisol,utility,Solar energy company,RN3 Antananarivo Madagascar,,,,,,
Dépôt Pétrolier d'Alarobia,utility,Petroleum products company,Antananarivo Madagascar,,,,,,
JIRAMA,utility,Power station,3A Madagascar,,,,,,
Loowatt SARL,utility,Waste management service,Lot III P 29 G Bis Marohoho Tsimbazaza Antananarivo Madagascar,+261 20 22 230 41,,loowatt.com,,,4.0
Dépôt Pétrolier de Soanierana,utility,Petroleum products company,Fiadanana Madagascar,,,,,,
GREEN ECO ENERGY,utility,Solar energy company,VG 26 Ter Antsahabe Antananarivo 101 Madagascar,,,,,,
GALANA RAFFINERIE TERMINAL sa.,utility,Petroleum products company,Toamasina Madagascar,,,,,,
Tsiazompaniry,utility,Hydroelectric power plant,Tsiazompaniry Madagascar,,,,,,
Vohitra Environment - Facility,utility,Waste management service,LOT II O 126 - Anjanahary - Antananarivo 101 Antananarivo 101 Madagascar,+261 34 27 083 92,,vohitra.mg,,,
TK Distrib,utility,Hardware store,Anosizato Antananarivo 101 Madagascar,,,tk-distrib.business.site,,,
Air Liquide SOAM,utility,Industrial gas supplier,Rue Docteur Joseph Raseta Antananarivo Madagascar,+261 20 23 225 06,,airliquide.com,,,2.0
Andrii Dj,utility,Clothes and fabric manufacturer,Andilamena Madagascar,+261 34 48 182 25,,,,,
SIDEXAM,utility,Tea manufacturer,Madagascar,,,,,,5.0
TECHNIHUB,utility,Electrician,Rue Docteur Joseph Raseta Lot IVL2JD Andraharo 101 Madagascar,+261 20 23 692 62,,technihub.mg,,,4.4
Hyundai Tana Bamada,utility,Car repair and maintenance,Rue du Dr. Joseph Raseta Antananarivo 101 Madagascar,+261 20 23 219 64,,,,,
Somacou,utility,Clothes and fabric manufacturer,PK8 route d'Ambohimanga Ilafy Antananarivo Madagascar,+261 34 07 424 97,,somacou.com,,,4.2
Tag's Studio sarl,utility,Movie studio,I B 336 Andoharanofotsy Tananarive 102 Madagascar,+261 32 86 132 09,,tags-studio-sarl.business.site,,,
J.R. Metaux MG Sarlu,utility,Stainless steel plant,Madagascar,+261 33 11 914 37,,jrmetaux.com,,,5.0
Homeopharma Ivandry,utility,Pharmaceutical company,Ivandry Trade Tower Antananarivo 101 Madagascar,+261 34 90 464 64,,business.site,,,
France Pub,utility,PVC industry,Antananarivo Madagascar,+261 20 22 474 74,,france-pub.mg,,,
GAMA TEXTILE MADAGASCAR SARL,utility,Manufacturer,Antananarivo Madagascar,,,,,,3.3
SOMALAVAL,utility,Paint manufacturer,Stadium De Barikadimy Toamasina Madagascar,+261 32 11 111 05,,somalaval.com,,,5.0
Savonnerie Tropicale,utility,Cosmetics industry,Rue Ravoninahitriniarivo Ankorondrano Zone Industrielle Nord Antananarivo 101 Madagascar,+261 20 22 253 24,,savonnerie-tropicale.mg,,,
WOOD GASY,utility,Furniture manufacturer,Andravoahangy Madagascar,+261 34 14 208 88,,wood-gasy.business.site,,,
FDC Analamahitsy,utility,Aluminum supplier,3 Antananarivo Madagascar,+261 20 23 245 18,,,,,
Sté COMETAL Sarl,utility,Aluminum supplier,Antananarivo Madagascar,+261 20 22 477 39,,,,,5.0
Shoprite Tana Airport,utility,Supermarket,Rn7 Carrefour Route De Mahajanga Antananarivo Madagascar,+261 20 22 485 49,,shoprite.co.za,,,3.7
Shoprite Panorama,utility,Supermarket,Rue Tsiadana Antananarivo Madagascar,+261 20 22 326 43,,shoprite.co.za,,,3.3
Shoprite Tamatave 2,utility,Supermarket,Fokontany 23/41-42 Ampasimazava Madagascar,+261 20 53 316 88,,shoprite.co.za,,,4.7
Grove Industry,utility,Textiles,Antananarivo Madagascar,+261 20 22 578 88,,groveind.com,,,
COGELEC Madagascar,electricity,Electric utility company,Lot III G 26 Ouest Antananarivo Madagascar,+261 20 22 273 89,,,,,
INERGY Solutions,electricity,Electric utility company,Antananarivo Madagascar,+261 34 22 447 27,,,,,5.0
JIRAMA,electricity,Electric utility company,Ambositra Madagascar,,,,,,
elec&tic,electricity,Electric utility company,Lot PRES 0 04 ANKAZOBE By pass Antananarivo 101 Madagascar,+261 34 11 455 15,,,,,
JIRAMA Mandroseza,electricity,Electric utility company,Antananarivo Madagascar,+261 20 22 660 31,,jirama.mg,,,2.0
MadaWatt,electricity,Solar energy company,101e SODIAT Agence à Ivato Lalana Dok. Joseph Raseta Antananarivo Madagascar,+261 32 12 600 00,,madawatt.com,,,3.0
GREEN ECO ENERGY,electricity,Solar energy company,VG 26 Ter Antsahabe Antananarivo 101 Madagascar,,,,,,
Master Trade S.A.,electricity,Electrical supply store,Lot IVL240E Lalana Jean Paul II Morarano Antananarivo 101 Madagascar,+261 20 23 333 30,,mastertrade.business.site,,,4.0
Rasseta Energie Solaire,electricity,Solar energy company,Antananarivo Madagascar,+261 33 31 707 77,,,,,
ENERGIE TECHNOLOGIE,electricity,Solar energy company,Antananarivo Madagascar,+261 20 22 362 62,,ener-technologie.com,,,
Green Shop,electricity,Solar energy company,Antananarivo Madagascar,+261 34 43 480 70,,greengywatt.com,,,5.0
Vohitra Environment - Facility,electricity,Waste management service,LOT II O 126 - Anjanahary - Antananarivo 101 Antananarivo 101 Madagascar,+261 34 27 083 92,,vohitra.mg,,,
Gasy Madio,electricity,Garbage collection service,Antananarivo Madagascar,+261 34 61 171 16,,gasy-madio.business.site,,,
TK Distrib,electricity,Hardware store,Anosizato Antananarivo 101 Madagascar,,,tk-distrib.business.site,,,
Vohitra Environnement S.A,electricity,Waste management service,Lot II O 126 Anjanahary Antananarivo 101 Madagascar,+261 34 27 083 92,,vohitra.mg,,,
Station-service Total Mimosa,electricity,Gas station,"19° 22' 58.27"" S 47° 25' 38.62"" E Ambatolampy Madagascar",+261 20 22 390 40,,total.mg,,,
Sumitomo corporation,electricity,Industrial design company,ivandry business center Antananarivo Madagascar,+261 20 22 494 05,,sumitomocorp.com,,,
Teleperformance Madagascar,electricity,Call center,Explorer Business Park Batiment A1 Ankorondrano Antananarivo 101 Madagascar,+261 20 22 236 66,,mg.www.teleperformance.com,,,4.5
station FOFIFA Andranovaky,sewage,Sewage treatment plant,Mahitsy Madagascar,,,,,,
Captage ressource SP1,sewage,Sewage treatment plant,Manjakandriana Madagascar,,,,,,
Loowatt SARL,sewage,Waste management service,Lot III P 29 G Bis Marohoho Tsimbazaza Antananarivo Madagascar,+261 20 22 230 41,,loowatt.com,,,4.0
Bureau Commune Ambohidrapeto,sewage,City Hall,Antananarivo 102 Madagascar,,,,,,4.4
Build,building materials,Hardware store,Route du Pape Antananarivo Madagascar,+261 20 23 616 15,,facebook.com,,,
Quincaillerie Ny Antsika,building materials,Building materials store,Antananarivo Madagascar,+261 20 22 258 85,,,,,
Manorina,building materials,Building materials store,Antananarivo Madagascar,+261 20 24 264 23,,,,,
CG BAT Redland,building materials,Building materials store,Module 19 - ZI Forello Antananarivo Madagascar,+261 20 22 466 92,,tuiles-redland.com,,,
MAD'STEEL,building materials,Building materials store,LOT IVR 100 Antanimena Antananarivo 101 Madagascar,+261 34 11 623 11,,madalinks.net,,,
Métaplasco,building materials,Building materials supplier,Antananarivo Madagascar,+261 32 43 213 78,,metaplasco.com,,,
Ketrikia,building materials,Hardware store,Antananarivo Madagascar,+261 34 03 004 73,,,,,
Etablissement La Joie,building materials,Hardware store,Antananarivo Madagascar,,,,,,
Quincaillerie Fihavana,building materials,Hardware store,Antananarivo Madagascar,+261 32 50 845 66,,tolotra-malagasy.com,,,5.0
MAK ENGINES,building materials,Hardware store,Makboul Ambodifotatra 515 Madagascar,,,,,,
Quincaillerie Antsa,building materials,Hardware store,Moramanga Madagascar,,,,,,
Quincaillerie MOMO,building materials,Hardware store,Toamasina Madagascar,+261 34 05 178 28,,,,,5.0
Quincaillerie ISANJATO,building materials,Hardware store,QVY 55 ter Ambatomirahavavy Madagascar,+261 34 17 817 51,,,,,
Quincaillerie Raitra,building materials,Hardware store,Andravoahangy Market Antananarivo Madagascar,,,,,,
Proma,building materials,Roofing supply store,Immeuble trade tower alarobia Antananarivo 101 Madagascar,,,,,,4.0
Magasin M.F.,building materials,Hardware store,Lot IH5 Isotry Tananarive 101 Madagascar,+261 34 29 327 52,,,,,4.7
Aurlac magasin d'usine,building materials,Paint store,enceinte horizon itaosy Ivato Madagascar,,,aurlac.com,,,2.5
BEAUTE PRESTIGE,building materials,Glass shop,Antananarivo Madagascar,+261 34 53 108 74,,facebook.com,,,
HOUSE AND WORKS,building materials,Plywood supplier,Lot IIB 42F Amboditsiry Antananarivo 101 Madagascar,+261 34 11 107 89,,house-and-works.business.site,,,
Quincaillerie Foulpointe,building materials,Hardware store,Mahavelona Madagascar,,,,,,
Nour.pièce ste marie,building materials,Hardware store,Ste_marie Ambodifotatra 515 Madagascar,+261 34 37 888 72,,,,,
Caro Confort,building materials,Tile store,88E Ankadifotsy Befelatana Antananarivo 101 Madagascar,+261 34 43 302 22,,,,,5.0
F. Bonnet & Ses Fils,building materials,Hardware store,Rue Ravoninahitriniarivo Antananarivo Madagascar,,,bonnet-fils.com,,,4.0
Sanifer,building materials,Home improvement store,Rte du Pape Antananarivo Madagascar,+261 20 22 530 81,,sanifer.mg,,,4.1
Sté COMETAL Sarl,building materials,Aluminum supplier,Antananarivo Madagascar,+261 20 22 477 39,,,,,5.0
Mirary Shop Manakambahiny,building materials,Produce market,Lot VO 30 A Ter A Manakambahiny Marohoho Tsimbazaza Antananarivo 101 Madagascar,+261 34 69 363 54,,business.site,,,
SIMPLICE,building materials,Home goods store,Toamasina Madagascar,+261 34 50 043 03,,facebook.com,,,
Tsara Bika,building materials,Boutique,Antananarivo Madagascar,+261 33 01 004 98,,tsarabika.com,,,
SYGMA Distribution,building materials,Construction material wholesaler,111 rue de Liège Tsaralalana Antananarivo 101 Madagascar,+261 32 07 626 70,,facebook.com,,,
Ivandry Business Center,building materials,Engineering consultant,Antananarivo 101 Antananarivo Madagascar,+261 20 22 429 53,,assistgroup.org,,,4.0
Quincaillerie,hardware,Hardware store,Rue Razafindralombo Pierre Antananarivo Madagascar,,,,,,
Quincaillerie Nonisoa,hardware,Hardware store,Mananjary Madagascar,+261 34 18 999 53,,,,,
Quincaillerie Iorenantsoa,hardware,Hardware store,Antananarivo Madagascar,,,,,,
Ketrikia,hardware,Hardware store,Antananarivo Madagascar,+261 34 03 004 73,,,,,
Quincaillerie Raketamanga & Ramarolahy,hardware,Hardware store,Antananarivo Madagascar,+261 33 19 557 01,,,,,
FITAHIANA QUICAILLERIE,hardware,Hardware store,Antananarivo Madagascar,+261 33 47 113 62,,,,,3.0
Quincaillerie MAHERY,hardware,Hardware store,11/47 Mangarano II Madagascar,,,,,,
Tao Trano Malagasy,hardware,Hardware store,Itaosy cité 102 Madagascar,+261 33 12 193 61,,,,,
Build,hardware,Hardware store,Route du Pape Antananarivo Madagascar,+261 20 23 616 15,,facebook.com,,,
QUINCAILLERIE TSIMISARAKA,hardware,Hardware store,MANGARIVOTRA Tomasina 501 Madagascar,+261 34 55 011 80,,,,,
Magasin M.F.,hardware,Hardware store,Lot IH5 Isotry Tananarive 101 Madagascar,+261 34 29 327 52,,,,,4.7
Bricodis Andravoahangy,hardware,Hardware store,RN2 Antananarivo Madagascar,+261 34 23 123 02,,bricodis.mg,,,
Quincaillerie Tsanta,hardware,Hardware store,Arrêt de bus 7 Antananarivo Madagascar,,,,,,
Quincaillerie VONY,hardware,Hardware store,Lot IG161 Bis Ambalavao Antananarivo Madagascar,+261 34 28 245 02,,,,,
BINASTORE MADAGASCAR,hardware,Hardware store,Lalana Patrice Lumumba Antananarivo Madagascar,+261 20 22 294 51,,,,,
HOUSE AND WORKS,hardware,Plywood supplier,Lot IIB 42F Amboditsiry Antananarivo 101 Madagascar,+261 34 11 107 89,,house-and-works.business.site,,,
ABC - Madagascar,hardware,Home goods store,Enceinte La City Ivandry Antananarivo 101 Madagascar,+261 20 22 499 00,,abc.mg,,,4.6
ABC - Tamatave,hardware,Construction material wholesaler,Boulevard Augagneur Tamatave Tamatave 501 Madagascar,+261 20 53 311 28,,abc.mg,,,5.0
F. Bonnet & Ses Fils,hardware,Furniture store,42 Arabe Andrinampoinimerina Antananarivo 101 Madagascar,+261 20 22 203 26,,bonnet-fils.com,,,4.7
TAMA-ELEC Tamatave,hardware,Electrical supply store,Toamasina Madagascar,+261 34 02 335 06,,bit.ly,,,
ERICSSON Madagascar,hardware,Software company,Antananarivo Madagascar,,,ericsson.com,,,5.0
WOOD GASY,wood,Furniture manufacturer,Andravoahangy Madagascar,+261 34 14 208 88,,wood-gasy.business.site,,,
Wood by G,wood,Upholstery shop,101 Antananarivo Madagascar,,,wood-by-g.business.site,,,
Wood Studio Mada,wood,Corporate office,Antananarivo Madagascar,+261 33 50 403 23,,,,,
Menuiserie Tambatra,wood,Wood floor refinishing service,Antananarivo Madagascar,,,,,,
Menuiserie de Manjakaray (Parkex rvn),wood,Wood and laminate flooring supplier,Antananarivo Madagascar,+261 33 14 934 10,,facebook.com,,,
Alan Ambatolana,wood,Woods,Madagascar,,,,,,
Alan Antanetivy,wood,Woods,Madagascar,,,,,,
FIVAROTAN-KAZO,wood,Saw mill,B2AB Ambohitrarahaba Ilafy 101 Madagascar,+261 33 11 044 76,,,,,
CG BAT Redland,wood,Building materials store,Module 19 - ZI Forello Antananarivo Madagascar,+261 20 22 466 92,,tuiles-redland.com,,,
Batimax,wood,Building materials store,Rue Docteur Joseph Raseta Antananarivo Madagascar,,,batimax-mada.com,,,3.9
Bricodis Andravoahangy,wood,Hardware store,RN2 Antananarivo Madagascar,+261 34 23 123 02,,bricodis.mg,,,
Tsena Mampray behenjy,wood,Hardware store,Behenjy Madagascar,+261 34 84 827 77,,,,,
Quincaillerie Vonjy,wood,Hardware store,Mahatony Terminus 165 Tana 101 Madagascar,+261 34 97 689 85,,business.site,,,
Mr Bricolage,wood,Hardware store,Ankorondrano Antananarivo Madagascar,+261 20 22 369 07,,bricolage-madagascar.com,,,4.5
Quincaillerie VONY,wood,Hardware store,Lot IG161 Bis Ambalavao Antananarivo Madagascar,+261 34 28 245 02,,,,,
MALOCI Ambohimanambola,wood,Cement manufacturer,Ambohimanambola Madagascar,+261 20 26 283 31,,industryabout.com,,,
ENTREPRISE FENOSOA,wood,Builder,LOT ITF 83 BIS AMBANIALA Antananarivo Madagascar,+261 34 46 426 99,,,,,
Vision Madagascar (ViMa),wood,Property management company,Explorer Business Park Antananarivo Madagascar,+261 20 22 338 31,,visionmadagascar.com,,,3.0
Shoprite Panorama,wood,Supermarket,Rue Tsiadana Antananarivo Madagascar,+261 20 22 326 43,,shoprite.co.za,,,3.3
MCI - Madagascar Chimie Industries,wood,Chemical plant,ZI Forello Enceinte Somalco 102 Madagascar,+261 20 22 571 10,,mci.mg,,,
Dream'in,roofs,Roofing contractor,Rue Massignon Antananarivo Madagascar,+261 20 22 265 71,,dreamin.tv,,,2.6
Top Tôle,roofs,Roofing supply store,Antananarivo Madagascar,+261 33 11 250 00,,super-tole.sitew.com,,,
Proma,roofs,Roofing supply store,Immeuble trade tower alarobia Antananarivo 101 Madagascar,,,,,,4.0
Primus,roofs,Telecommunications contractor,Antananarivo Madagascar,+261 20 22 483 96,,primus-int.com,,,
CG BAT Redland,roofs,Building materials store,Module 19 - ZI Forello Antananarivo Madagascar,+261 20 22 466 92,,tuiles-redland.com,,,
Solar Tech Madagascar,solar panel,Solar energy equipment supplier,Rue Amiral Billard Toamasina Madagascar,+261 34 13 299 30,,m.facebook.com,,,4.0
Greenline Technologies,solar panel,Solar energy equipment supplier,ANALAKELY Madagascar,+261 34 24 800 52,,greenline-madagascar.com,,,
MAJINCO,solar panel,Solar energy equipment supplier,2 Lalana Ingereza Antananarivo Madagascar,,,majinco.com,,,
Green Shop,solar panel,Solar energy company,Antananarivo Madagascar,+261 34 43 480 70,,greengywatt.com,,,5.0
Eco-Logik,solar panel,Solar energy equipment supplier,Antananarivo Madagascar,+261 32 05 398 01,,wixsite.com,,,5.0
Station-service Total Tsy Tola,solar panel,Gas station,"20° 31' 18.86"" S 47° 15' 00.87"" E Ambositra Madagascar",+261 20 22 390 40,,total.mg,,,5.0
Station-service Total Sahondra,solar panel,Gas station,"19° 31' 33.66"" S 47° 25' 51.87"" E Ambohimandraso Madagascar",+261 20 22 390 40,,total.mg,,,5.0
SGS Madagascar Sarl,solar panel,Business to business service,Boulevard Joffre Toamasina Madagascar,+261 20 53 010 13,,sgs.com,,,
SGS Madagascar Sarl,solar panel,Business to business service,Immeuble Ariane Enceinte Galaxy Andraharo Antananarivo 101 Madagascar,+261 20 23 564 10,,sgs.com,,,5.0
Station-service Total Mimosa,solar panel,Gas station,"19° 22' 58.27"" S 47° 25' 38.62"" E Ambatolampy Madagascar",+261 20 22 390 40,,total.mg,,,
Sanifer,water tank,Home improvement store,Rte du Pape Antananarivo Madagascar,+261 20 22 530 81,,sanifer.mg,,,4.1
Batimax,water tank,Building materials store,Rue Docteur Joseph Raseta Antananarivo Madagascar,,,batimax-mada.com,,,3.9
Lac Mandroseza,water tank,Lake,Antananarivo Madagascar,,,,,,
Lac Mandroseza,water tank,Water,Antananarivo Madagascar,,,,,,4.0
Betsiboka,water tank,River,Madagascar,,,,,,5.0
Quincaillerie LALAINA Ankazobe Bypass,water tank,Hardware store,Ankazobe Madagascar,+261 33 46 209 20,,,,,5.0
Giordano ivato,water tank,Home goods store,Maibahoaka Ivato Lalana Dok. Joseph Raseta Talatamaty Madagascar,,,,,,
Quincaillerie Asmad - Kapci Coatings,water tank,Paint store,Lot IVI J Rond Point Andravoahangy Madagascar,,,kapci.com,,,5.0
Tsara Bika,water tank,Department store,3 Antananarivo Madagascar,+261 33 01 004 98,,tsarabika.com,,,5.0
TILAPIA DE L'EST,water tank,Shopping mall,Boulevard De La Fidelite Toamasina Madagascar,+261 20 53 310 82,,tilapiadelest.com,,,
ARAFA Sarl,water tank,Machine shop,Antananarivo Madagascar,+261 33 25 668 13,,arafa-mad.com,,,
CARE International,water tank,Non-governmental organization,5 Fenoarivo Madagascar,,,,,,
FAO Madagascar,water tank,Non-governmental organization,Lalana Dama-Ntsoha Razatintsalama Jean-Baptiste Antananarivo Madagascar,+261 20 22 288 31,,fao.org,,,5.0
Saint Laurent,water tank,University,Ambohinierenana Antananarivo Madagascar,,,,,,
Station-service Total Mimosa,water tank,Gas station,"19° 22' 58.27"" S 47° 25' 38.62"" E Ambatolampy Madagascar",+261 20 22 390 40,,total.mg,,,
REFY SERVICES,crane,Career guidance service,Boulevard D'andovoranto Toamasina Madagascar,+261 33 12 415 23,,,,,5.0
LOCAMAT - SOBATRA,crane,Equipment rental agency,Betainomby Airport Madagascar,,,location-btp.com,,,4.0
Aggreko Project,crane,Industrial equipment supplier,Antananarivo Madagascar,,,aggreko.com,,,4.0
"SMMC Company - Port of Toamasina, Madagascar",crane,Material handling equipment supplier,5 Rue du Commerce Ampasimazava-Est Toamasina 501 Madagascar,+261 20 53 312 63,,,,,
Plombier Electricien Mahery,plumbing,Plumber,LOT III R 43 Tsimbazaza Antananarivo 101 Madagascar,,,business.site,,,5.0
Sté TSARAHAZO SARL,plumbing,Hardware store,21 Rue de Commerce Toamasina AMPASIMAZAVA TOAMASINA 501 Madagascar,+261 34 05 329 81,,business.site,,,
Batpro,plumbing,Road construction company,Antananarivo Madagascar,+261 20 22 224 69,,batpro-madagascar.com,,,3.7
Sanifer,plumbing,Home improvement store,Rte du Pape Antananarivo Madagascar,+261 20 22 530 81,,sanifer.mg,,,4.1
EMIP,plumbing,General contractor,Rue Ravoninahitriniarivo Antananarivo Madagascar,+261 20 22 311 38,,emip.mg,,,3.9
Sole Hotel,artisan,74 reviews·2-star hotel,,,,,,,3.7
Hotel H1,artisan,24 reviews·2-star hotel,,,,,,,4.1
Artisan Hotel,artisan,100 reviews,,,,,,,4.0
fumoir de l' artisan,artisan,Restaurant,Villa anjarasoa 101 Rue Tsimanindry Antananarivo Madagascar,+261 32 70 266 32,,,,,
Le Flamant Rose Artisanat,artisan,Gift shop,Lalana Rabefiraisana Antananarivo Madagascar,+261 32 04 820 26,,sites.google.com,,,
Sole Hotel,hotel,74 reviews·2-star hotel,,,,,,,3.7
Hotel H1,hotel,24 reviews·2-star hotel,,,,,,,4.1
NOVOTEL Convention And Spa (Opening January 2020),hotel,9 reviews·5-star hotel,,,,,,,3.8
Princesse Bora Lodge & Spa,hotel,55 reviews·4-star hotel,,,,,,,4.4
Hotel Carlton,hotel,354 reviews·5-star hotel,,,,,,,4.1
Hotel Brajas,hotel,58 reviews·3-star hotel,,,,,,,3.5
Sunny Golf Hotel,hotel,11 reviews·3-star hotel,,,,,,,3.9
Hôtel La Ribaudiere,hotel,131 reviews·3-star hotel,,,,,,,4.1
Sunny Golf Hotel,hotel,11 reviews·3-star hotel,,,,,,,3.9
ANDASIBE LEMURS LODGE,hotel,37 reviews,,,,,,,4.1
ibis Antananarivo Ankorondrano,hotel,341 reviews·3-star hotel,,,,,,,3.9
Le Grand Mellis,hotel,86 reviews·3-star hotel,,,,,,,3.9
RADAMA HOTEL,hotel,18 reviews·2-star hotel,,,,,,,3.7
ANDASIBE LEMURS LODGE,hotel,37 reviews,,,,,,,4.1
Green palace,hotel,20 reviews·2-star hotel,,,,,,,4.5
Central Hotel Tana,hotel,57 reviews·4-star hotel,,,,,,,3.8
Relais des Plateaux Hotel & Spa,hotel,207 reviews·4-star hotel,,,,,,,4.2
Hotel Tana-Jacaranda,hotel,52 reviews,,,,,,,3.8
Hotel Rova,hotel,24 reviews·3-star hotel,,,,,,,4.3
Les 3 Metis,hotel,100 reviews·2-star hotel,,,,,,,4.1
Le Louvre Hôtel & Spa,hotel,242 reviews·4-star hotel,,,,,,,4.0
TANA HOTEL,hotel,67 reviews·3-star hotel,,,,,,,4.0
IVATO AÉROPORT STUDIOS ANNEXE 2,hotel,,,,,,,,
Hotel H1,hotel,24 reviews·2-star hotel,,,,,,,4.1
BUNGALOW FINARITRA,hotel,8 reviews,,,,,,,4.9
Palissandre Hôtel & Spa,hotel,98 reviews·3-star hotel,,,,,,,4.0
Hôtel La Ribaudiere,hotel,131 reviews·3-star hotel,,,,,,,4.1
Le Relais Normand,hotel,41 reviews·2-star hotel,,,,,,,3.7
SCARITEL HOTEL,hotel,18 reviews,,,,,,,4.2
Hotel Nautile,hotel,5 reviews·2-star hotel,,,,,,,4.2
Le Centell Hotel & Spa,hotel,23 reviews·4-star hotel,,,,,,,4.2
Grand Hotel Urban,hotel,106 reviews·3-star hotel,,,,,,,4.3
Residence du Rova,hotel,15 reviews,,,,,,,3.8
Soanambo Hotel,hotel,28 reviews,,,,,,,4.4
Samaria Lodge,hotel,27 reviews·4-star hotel,,,,,,,4.4
The Streamliner Hotel Apartment,hotel,24 reviews·4-star hotel,,,,,,,4.2
Hotel Club Paradise,hotel,21 reviews·4-star hotel,,,,,,,3.7
akoa hotel,hotel,38 reviews,,,,,,,4.2
Mantadia Lodge,hotel,66 reviews,,,,,,,4.6
Hotel Maningory,hotel,36 reviews,,,,,,,4.5
Le Relais Normand,hotel,41 reviews·2-star hotel,,,,,,,3.7
Residence Monique,hotel,8 reviews·3-star hotel,,,,,,,4.4
Setam Lodge,hotel,24 reviews,,,,,,,4.2
Victoria Beach Hotel,hotel,26 reviews·2-star hotel,,,,,,,3.7
Hotel Luciole,hotel,17 reviews·3-star hotel,,,,,,,3.1
Hotel Le Lagon de Foulpointe - Tamatave Madagascar,hotel,27 reviews·2-star hotel,,,,,,,4.1
Hotel Joffre,hotel,41 reviews·2-star hotel,,,,,,,3.7
Hotel Gregoire,hotel,31 reviews·3-star hotel,,,,,,,4.1
Sahatandra River Hotel,hotel,3 reviews,,,,,,,3.7
HOTEL MANJA Ranomafana,hotel,46 reviews,,,,,,,3.6
Island's House,hotel,3 reviews·2-star hotel,,,,,,,3.3
Souimanga Hôtel- Restaurant,hotel,18 reviews·1-star hotel,,,,,,,4.9
Hotel L'Astauria,hotel,4 reviews·3-star hotel,,,,,,,3.5
Cristo Hotel Ranomafana,hotel,7 reviews,,,,,,,4.0
Hotel de france,hotel,3-star hotel,,,,,,,
La Maison du Pyla,hotel,21 reviews,,,,,,,4.7
Art'HOME,hotel,14 reviews,,,,,,,4.5
Athana Hôtel,hotel,5 reviews·3-star hotel,,,,,,,3.2
Le Vieux Fort,hotel,27 reviews,,,,,,,4.3
CHEZ OLI,hotel,13 reviews,,,,,,,3.3
Maison d'hôtes Chez Jeanne,hotel,20 reviews·4-star hotel,,,,,,,4.2
Oceanis Home & Voyages,hotel,18 reviews·3-star hotel,,,,,,,3.6
Centre Lambahoany,hotel,14 reviews·2-star hotel,,,,,,,4.0
Select Hôtel,hotel,12 reviews,,,,,,,3.5
Villa Iarivo - KANTO new apartment,hotel,10 reviews·3-star hotel,,,,,,,4.9
RADAMA HOTEL,hotel,18 reviews·2-star hotel,,,,,,,3.7
Auberge Chez Jeanne,hotel,28 reviews·3-star hotel,,,,,,,4.2
Hotel Relais de la Haute Ville,hotel,15 reviews·2-star hotel,,,,,,,3.3
Workshop Idea Center,hotel,1 review,,,,,,,4.0
Herizo Sweet Guesthouse,hotel,,,,,,,,
Station Taxi Trente,taxi,Taxicab Stand,Rue Agosthino Neto Antananarivo Madagascar,,,,,,3.0
Taxis Antaninarenina,taxi,Taxicab Stand,Antananarivo Madagascar,,,,,,3.0
Station Taxi Anosisoa,taxi,Taxicab Stand,Rue Docteur Joseph Raseta Antananarivo Madagascar,,,,,,3.0
Taxis Ampasika,taxi,Taxicab Stand,Antananarivo Madagascar,,,,,,
Parking Car 1,taxi,Taxicab Stand,Andemaka Madagascar,,,,,,
Arrrêt Bus 157,taxi,Bus stop,Antananarivo Madagascar,,,,,,2.5
Arret bus DEVARA,taxi,Minibus taxi service,Rue Jean Carol Antananarivo Madagascar,,,,,,
Gare routière MAKI,taxi,Minibus taxi service,Antananarivo Madagascar,,,,,,3.9
Taxi- Brousse Station,taxi,Transit station,Manakara Madagascar,,,,,,4.3
Arrêt Bus 156,taxi,Bus stop,Antananarivo Madagascar,,,,,,3.3
Arrêt de bus,taxi,Bus stop,Rue Razafindramanta Antananarivo Madagascar,,,,,,5.0
Kofimanga Tanà,taxi,Trucking company,Antananarivo Madagascar,,,,,,
Transport VATSY,taxi,Bus ticket agency,Toamasina Madagascar,,,,,,5.0
Ankinihity Staz TaxiBrousse Per AMBODIRIANA,taxi,Trucking company,Toamasina Madagascar,,,,,,
Ligne D,taxi,Bus stop,Lalana Pastuer Antananarivo Madagascar,,,,,,5.0
Relais des Plateaux Hotel & Spa,taxi,207 reviews·4-star hotel,,,,,,,4.2
TANA HOTEL,taxi,67 reviews·3-star hotel,,,,,,,4.0
Le Karthala Chambres D'Hotes,taxi,4 reviews,,,,,,,5.0
Ambavaniasy,taxi,,,,,,,,
Tsanga Tsanga Hôtel,taxi,,Lalana Ratsimilaho Antananarivo Madagascar,+261 20 22 237 17,,tsangatsangahotel.com,,,
